STATION,STATION_NAME,DATE,HPCP
COOP:366111,MURRYSVILLE 2 SW PA US,20071202 23:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071203 03:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071205 10:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071206 11:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071207 10:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071208 03:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071209 05:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071209 16:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071209 17:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071209 20:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071210 14:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071211 13:00,0.3
COOP:366111,MURRYSVILLE 2 SW PA US,20071212 02:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071212 03:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071212 04:00,0.3
COOP:366111,MURRYSVILLE 2 SW PA US,20071212 05:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071212 06:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071212 07:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071212 08:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071212 10:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071214 11:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071214 12:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071214 13:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071214 14:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071214 19:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071214 20:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071214 22:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071215 02:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071221 23:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071222 00:00,0.2
COOP:366111,MURRYSVILLE 2 SW PA US,20071222 02:00,0.2
COOP:366111,MURRYSVILLE 2 SW PA US,20071227 05:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071227 10:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071227 12:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071231 18:00,0.1
