INDEX,STATION,STATION_NAME,DATE,HPCP,,DATE_2,HPCP_2
267,COOP:366993,PITTSBURGH ASOS PA US,2/2/13,0.01,,2013-09-25,0
268,COOP:366993,PITTSBURGH ASOS PA US,2/2/13,0.01,,2013-09-26,0
269,COOP:366993,PITTSBURGH ASOS PA US,2/2/13,0.01,,2013-09-27,0
270,COOP:366993,PITTSBURGH ASOS PA US,2/2/13,0.01,,2013-09-28,0
271,COOP:366993,PITTSBURGH ASOS PA US,2/2/13,0,,2013-09-29,0
272,COOP:366993,PITTSBURGH ASOS PA US,2/2/13,0,,2013-09-30,0
273,COOP:366993,PITTSBURGH ASOS PA US,2/2/13,0,,2013-10-01,0
274,COOP:366993,PITTSBURGH ASOS PA US,2/3/13,0,,2013-10-02,0
275,COOP:366993,PITTSBURGH ASOS PA US,2/3/13,0,,2013-10-03,0.35
276,COOP:366993,PITTSBURGH ASOS PA US,2/3/13,0,,2013-10-04,0.27
277,COOP:366993,PITTSBURGH ASOS PA US,2/3/13,0,,2013-10-05,0.1
278,COOP:366993,PITTSBURGH ASOS PA US,2/3/13,0,,2013-10-06,0
279,COOP:366993,PITTSBURGH ASOS PA US,2/3/13,0,,2013-10-07,0.33
280,COOP:366993,PITTSBURGH ASOS PA US,2/3/13,0,,2013-10-08,0
281,COOP:366993,PITTSBURGH ASOS PA US,2/3/13,0,,2013-10-09,0
282,COOP:366993,PITTSBURGH ASOS PA US,2/3/13,0,,2013-10-10,0
283,COOP:366993,PITTSBURGH ASOS PA US,2/3/13,0,,2013-10-11,0.03
284,COOP:366993,PITTSBURGH ASOS PA US,2/3/13,0,,2013-10-12,0.03
285,COOP:366993,PITTSBURGH ASOS PA US,2/3/13,0,,2013-10-13,0
286,COOP:366993,PITTSBURGH ASOS PA US,2/3/13,0.01,,2013-10-14,0.04
287,COOP:366993,PITTSBURGH ASOS PA US,2/3/13,0,,2013-10-15,0
288,COOP:366993,PITTSBURGH ASOS PA US,2/3/13,0,,2013-10-16,0.29
289,COOP:366993,PITTSBURGH ASOS PA US,2/3/13,0,,2013-10-17,0.44
290,COOP:366993,PITTSBURGH ASOS PA US,2/3/13,0,,2013-10-18,0
291,COOP:366993,PITTSBURGH ASOS PA US,2/3/13,0,,2013-10-19,0.04
292,COOP:366993,PITTSBURGH ASOS PA US,2/3/13,0,,2013-10-20,0
293,COOP:366993,PITTSBURGH ASOS PA US,2/3/13,0,,2013-10-21,0
294,COOP:366993,PITTSBURGH ASOS PA US,2/3/13,0,,2013-10-22,0.19
295,COOP:366993,PITTSBURGH ASOS PA US,2/3/13,0,,2013-10-23,0.06
296,COOP:366993,PITTSBURGH ASOS PA US,2/3/13,0,,2013-10-24,0
297,COOP:366993,PITTSBURGH ASOS PA US,2/3/13,0,,2013-10-25,0.02
298,COOP:366993,PITTSBURGH ASOS PA US,2/4/13,0,,2013-10-26,0
299,COOP:366993,PITTSBURGH ASOS PA US,2/4/13,0,,2013-10-27,0
300,COOP:366993,PITTSBURGH ASOS PA US,2/4/13,0,,2013-10-28,0
301,COOP:366993,PITTSBURGH ASOS PA US,2/4/13,0,,2013-10-29,0
302,COOP:366993,PITTSBURGH ASOS PA US,2/4/13,0,,2013-10-30,0
303,COOP:366993,PITTSBURGH ASOS PA US,2/4/13,0,,2013-10-31,0.16
304,COOP:366993,PITTSBURGH ASOS PA US,2/4/13,0,,2013-11-01,0.19
305,COOP:366993,PITTSBURGH ASOS PA US,2/4/13,0,,2013-11-02,0.04
306,COOP:366993,PITTSBURGH ASOS PA US,2/4/13,0,,2013-11-03,0
307,COOP:366993,PITTSBURGH ASOS PA US,2/4/13,0,,2013-11-04,0
308,COOP:366993,PITTSBURGH ASOS PA US,2/4/13,0,,2013-11-05,0
309,COOP:366993,PITTSBURGH ASOS PA US,2/4/13,0,,2013-11-06,0.11
310,COOP:366993,PITTSBURGH ASOS PA US,2/4/13,0,,2013-11-07,0.68
